Arquivo,Variável,Nome da variável,Descrição da variável,Fonte,Tipo,Tamanho,,
DEINFO_AB_FEIRASLIVRES_2010,ID,Identificador,Número de identificação do estabelecimento georreferenciado por SMDU/Deinfo,SMDU/Deinfo,TEXTO,3,,
DEINFO_AB_FEIRASLIVRES_2010,LONG,Longitude,"Longitude da localização do estabelecimento no território do Município, conforme MDC",SMDU/Deinfo,TEXTO,9,,
DEINFO_AB_FEIRASLIVRES_2010,LAT,Latitude,"Latitude da localização do estabelecimento no território do Município, conforme MDC",SMDU/Deinfo,TEXTO,9,,
DEINFO_AB_FEIRASLIVRES_2010,SETCENS,Setor censitário,Setor censitário conforme IBGE,IBGE,TEXTO,7,,
DEINFO_AB_FEIRASLIVRES_2010,AREAP,Área de ponderação,Área de ponderação (agrupamento de setores censitários) conforme IBGE 2010,IBGE,TEXTO,5,,
DEINFO_AB_FEIRASLIVRES_2010,CODDIST,Código do distrito conforme IBGE,Código do Distrito Municipal conforme IBGE,IBGE,TEXTO,7,,
DEINFO_AB_FEIRASLIVRES_2010,DISTRITO,Distrito municipal,Nome do Distrito Municipal,SMDU/Deinfo,TEXTO,18,,
DEINFO_AB_FEIRASLIVRES_2010,CODSUBPREF,Código da Subprefeitura,Código de cada uma das 31 Subprefeituras (2003 a 2012),SMDU/Deinfo,TEXTO,8,,
DEINFO_AB_FEIRASLIVRES_2010,SUBPREF,Subprefeitura,Nome da Subprefeitura (31 de 2003 até 2012),SMDU/Deinfo,TEXTO,32,,
DEINFO_AB_FEIRASLIVRES_2010,REGIAO5,Região conforme divisão do Município em 5 áreas,Região conforme divisão do Município em 5 áreas,SMDU/Deinfo,TEXTO,7,,
DEINFO_AB_FEIRASLIVRES_2010,REGIAO8,Região conforme divisão do Município em 8 áreas,Região conforme divisão do Município em 8 áreas,SMDU/Deinfo,TEXTO,7,,
DEINFO_AB_FEIRASLIVRES_2010,NOME_FEIRA,Nome da feira livre,Denominação da feira livre atribuída pela Supervisão de Abastecimento,SMSP/AB,TEXTO,30,,
DEINFO_AB_FEIRASLIVRES_2010,REGISTRO,Registro da feira livre,Número do registro da feira livre na PMSP,SMSP/AB,TEXTO,5,,
DEINFO_AB_FEIRASLIVRES_2010,LOGRADOURO,Logradouro,Nome do logradouro onde se localiza a feira livre,SMSP/AB,TEXTO,34,,
DEINFO_AB_FEIRASLIVRES_2010,NUMERO,Número,Um número do logradouro onde se localiza a feira livre,SMSP/AB,TEXTO,6,,
DEINFO_AB_FEIRASLIVRES_2010,BAIRRO,Bairro,Bairro de localização da feira livre,SMSP/AB,TEXTO,20,
DEINFO_AB_FEIRASLIVRES_2010,REFERENCIA,Ponto de referência,Ponto de referência da localização da feira livre,SMSP/AB,TEXTO,10,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
